detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,f300dcc1-d2da-4bc7-bda4-4e9852f09468,sahiuqlyojjjvijzbfqt,1745454846512000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,80344ddb-00a1-450f-b966-230f6a85b3de,sahiuqlyojjjvijzbfqt,1745454846512000
null,LOG,connection authorized: user=supabase_storage_admin database=postgres,null,07a69c2a-2807-47f0-a632-f87e317d5e1a,sahiuqlyojjjvijzbfqt,1745454846406000
null,WARNING,PgBouncer auth request: supabase_storage_admin,null,f4fcec46-01f5-43e1-a7a7-32afe7890acb,sahiuqlyojjjvijzbfqt,1745454846395000
null,LOG,connection authorized: user=pgbouncer database=postgres,null,04a4e3c7-2354-44c9-bba2-4f7a1d47fa3e,sahiuqlyojjjvijzbfqt,1745454846393000
null,LOG,connection received: host=127.0.0.1 port=14865,null,d059f54a-5ee5-4ce2-82b6-d392b3560610,sahiuqlyojjjvijzbfqt,1745454846392000
null,LOG,connection received: host=2a05:d018:1e14:200:3d15:35b5:48cd:937e port=44512,null,ddadcd1e-c49e-4b32-9519-b4ed6903978e,sahiuqlyojjjvijzbfqt,1745454846355000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,22de4e1a-cadb-4ad1-9455-5f6b8f318886,sahiuqlyojjjvijzbfqt,1745454821937000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,fddbb49c-97a1-4a12-bfee-ebbb7701171d,sahiuqlyojjjvijzbfqt,1745454821937000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,244b1fd7-f57a-4766-bb37-4f1848ef65f1,sahiuqlyojjjvijzbfqt,1745454821937000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,63be2830-a584-4f2e-b354-7d55d1cd8fcb,sahiuqlyojjjvijzbfqt,1745454821937000
null,LOG,connection received: host=2a05:d018:1e14:200:87c5:c115:c45f:cabb port=45366,null,c73756e8-60ea-4d7f-901a-a98f67502131,sahiuqlyojjjvijzbfqt,1745454821798000
null,LOG,connection received: host=2a05:d018:1e14:201:ff9f:f687:f9da:a312 port=46454,null,e5e3bde6-1792-404d-b4b0-d4ae4f6028c2,sahiuqlyojjjvijzbfqt,1745454821798000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,4665e2cb-be66-4ec5-b038-50f432ef13cf,sahiuqlyojjjvijzbfqt,1745454808331000
null,LOG,connection received: host=::1 port=4593,null,b329fd07-d697-4e8f-9824-6207c0ad34b5,sahiuqlyojjjvijzbfqt,1745454808330000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,0b0abd67-957d-4168-b7ee-ccad5c9a36a8,sahiuqlyojjjvijzbfqt,1745454748330000
null,LOG,connection received: host=::1 port=37417,null,c3589b4d-c6ef-4c30-84be-326bd70b2b7e,sahiuqlyojjjvijzbfqt,1745454748330000
